Name,Quarter,Year,Course quality,Teaching effectiveness,Syllabus
Honors Research in Government,Fall,2025,Not collected,Not collected,https://www.dropbox.com/scl/fi/lx5sh10g16rqn9yya76sy/Gov-97-syllabus-2024-25.docx?rlkey=hwewv4cwtc4zee5mmb4uafmgh&dl=0
Honors Research in Government,Fall,2024,4.75/5,4.86/5,https://www.dropbox.com/scl/fi/lx5sh10g16rqn9yya76sy/Gov-97-syllabus-2024-25.docx?rlkey=hwewv4cwtc4zee5mmb4uafmgh&dl=0
Baltic Politics,Summer,2024,Not collected by Dartmouth,Not collected by Dartmouth,https://t.ly/9nRDv
Baltic Politics,Summer,2023,Not collected by Dartmouth,Not collected by Dartmouth,https://t.ly/9nRDv
Quantitative Political Analysis,Winter,2023,4.67/5,4.75/5,https://t.ly/PsASf
Experiments in Politics,Winter,2023,4.54/5,4.75/5,https://shorturl.at/LSTdH
Quantitative Political Analysis,Fall,2022,4.41/5,4.77/5,https://www.dropbox.com/scl/fi/z0b86cxsude4xtuwnbhmw/govt-10-fall-22.pdf?rlkey=xyfpxvd02d0kb96l95wrhicpr&dl=0
Experiments in Politics,Fall,2022,4.71/5,4.67/5,https://www.dropbox.com/scl/fi/b2uaih2gj1qfp33vqogpz/govt-8321-fall-22.pdf?rlkey=hxq3qkhpqpicp0q9rdmbxj7bb&dl=0
Quantitative Political Analysis,Winter,2021,5/5,5/5,https://www.dropbox.com/scl/fi/az5v7125mu47oaz9ozhax/govt-10-winter-21-syllabus.pdf?rlkey=7epr085zurthki8kg68hmstrc&dl=0
Experiments in Politics,Winter,2021,4.82/5,4.91/5,https://www.dropbox.com/scl/fi/c0zowhsz2xwlkp1smf9xn/govt-8321-winter-21-syllabus.pdf?rlkey=hy8cvq09dx5ddszd0hbvdlsle&dl=0
Quantitative Political Analysis,Spring,2021,4.54/5,4.75/5,https://www.dropbox.com/scl/fi/s90lmphusm30qf7dmkos3/govt-10-spring-21-syllabus.pdf?rlkey=zg2gnqrometaxf66v7qq1hh03&dl=0