Name,Course quality,Quarter,Syllabus,Teaching effectiveness,Year
Quantitative Political Analysis,4.54/5,Spring,https://www.dropbox.com/scl/fi/s90lmphusm30qf7dmkos3/govt-10-spring-21-syllabus.pdf?rlkey=zg2gnqrometaxf66v7qq1hh03&dl=0,4.75/5,2021
Quantitative Political Analysis,4.41/5,Fall,https://www.dropbox.com/scl/fi/z0b86cxsude4xtuwnbhmw/govt-10-fall-22.pdf?rlkey=xyfpxvd02d0kb96l95wrhicpr&dl=0,4.77/5,2022
Experiments in Politics,4.71/5,Fall,https://www.dropbox.com/scl/fi/b2uaih2gj1qfp33vqogpz/govt-8321-fall-22.pdf?rlkey=hxq3qkhpqpicp0q9rdmbxj7bb&dl=0,4.67/5,2022
Quantitative Political Analysis,5/5,Winter,https://www.dropbox.com/scl/fi/az5v7125mu47oaz9ozhax/govt-10-winter-21-syllabus.pdf?rlkey=7epr085zurthki8kg68hmstrc&dl=0,5/5,2021
Experiments in Politics,4.82/5,Winter,https://www.dropbox.com/scl/fi/c0zowhsz2xwlkp1smf9xn/govt-8321-winter-21-syllabus.pdf?rlkey=hy8cvq09dx5ddszd0hbvdlsle&dl=0,4.91/5,2021
Experiments in Politics,4.54/5,Winter,https://shorturl.at/LSTdH,4.75/5,2023
Quantitative Political Analysis,4.67/5,Winter,https://t.ly/PsASf,4.75/5,2023
Baltic Politics,Not collected by Dartmouth,Summer,https://t.ly/9nRDv,Not collected by Dartmouth,2024
Baltic Politics,Not collected by Dartmouth,Summer,https://t.ly/9nRDv,Not collected by Dartmouth,2023
Honors Research in Government,4.75/5,Fall,https://www.dropbox.com/scl/fi/lx5sh10g16rqn9yya76sy/Gov-97-syllabus-2024-25.docx?rlkey=hwewv4cwtc4zee5mmb4uafmgh&dl=0,4.86/5,2024
Honors Research in Government,Not collected,Fall,https://www.dropbox.com/scl/fi/lx5sh10g16rqn9yya76sy/Gov-97-syllabus-2024-25.docx?rlkey=hwewv4cwtc4zee5mmb4uafmgh&dl=0,Not collected,2025